bgg,name,players,duration,complexity,y,ab
https://boardgamegeek.com/boardgame/83667/first-train-nuremberg,First Train to Nurnberg,,,Elevata,,
https://boardgamegeek.com/boardgame/199478/flamme-rouge,Flamme Rouge,2-4,30-45,Semplice,,
https://boardgamegeek.com/boardgame/312618/flourish,Flourish,,,Semplice,,
https://boardgamegeek.com/boardgame/314413/fluxx,Fluxx,,,Semplice,,
https://boardgamegeek.com/boardgame/195869/cest-mon-fort,Fort!,,,Semplice,,
https://boardgamegeek.com/boardgame/2719/connect-four,Forza 4,2,10,Semplice,Y,
https://boardgamegeek.com/boardgame/359318/foxy,Foxy,,,Semplice,,
https://boardgamegeek.com/boardgame/66188/fresco,Fresco,,,Media,,
https://boardgamegeek.com/boardgame/354324/fresh-fruits,Fresh Fruits,,,Semplice,,
https://boardgamegeek.com/boardgame/203427/fabled-fruit,Frutta fatata,,,Semplice,,
https://boardgamegeek.com/boardgame/7805/fearsome-floors,Fuggi Fuggi,2-7,60,Semplice,,
https://boardgamegeek.com/boardgame/246693/funky-chicken,Funky Gallo,3-6,5,Semplice,Y,A
https://boardgamegeek.com/boardgame/247807/fuorisalone,Fuorisalone,,,Semplice,,
https://boardgamegeek.com/boardgame/352823/galileo-project,Galileo Project,,,Media,,
https://boardgamegeek.com/boardgame/176558/mafia-de-cuba,Gangs of Cuba,6-12,10-20,Semplice,,
https://boardgamegeek.com/boardgame/28739/garibaldi-escape,Garibaldi,2-6,60,Media,,
https://boardgamegeek.com/boardgame/9674/ingenious,Geniale,,,Semplice,,
https://boardgamegeek.com/boardgame/165709/ghiotto-di-ghiande,Ghiotto di ghiande,2-6,15,Semplice,Y,
https://boardgamegeek.com/boardgame/177083/giu-dal-trono,Giù dal trono,,,Semplice,,
https://boardgamegeek.com/boardgame/143693/glass-road,Glass Road,1-4,20-80,Elevata,,
https://boardgamegeek.com/boardgame/359124/animals-baker-street,Gli animali di Baker Street,,,Semplice,,
https://boardgamegeek.com/boardgame/184346/go-nuts-donuts,Go Nuts for Donuts,2-6,20,Semplice,Y,A
https://boardgamegeek.com/boardgame/9216/goa,Goa,2-4,90,Media,,
https://boardgamegeek.com/boardgame/142517/grabolo,Grabolo,3-5,20,Semplice,Y,A
https://boardgamegeek.com/boardgame/182874/grand-austria-hotel,Grand Austria Hotel,2-4,60-120,Elevata,,
https://boardgamegeek.com/boardgame/226959/grandi-eroi-pigiama,Grandi eroi in pigiama,,,Semplice,,
https://boardgamegeek.com/boardgame/193738/great-western-trail,Great Western Trail,,,Elevata,,
https://boardgamegeek.com/boardgame/163931/grog-island,Grog Island,2-4,40-75,Media,,
https://boardgamegeek.com/boardgame/194019/guilds,Guilds,2-4,60-90,Media,,
https://boardgamegeek.com/boardgame/269144/hadara,Hadara,,,Media,,
https://boardgamegeek.com/boardgame/2944/halli-galli,Halli Galli ,2-6,10,Semplice,Y,A
https://boardgamegeek.com/boardgame/290357/hanabi-grands-feux,Hanabi grandi fuochi,,,Semplice,,
https://boardgamegeek.com/boardgame/43015/hansa-teutonica,Hansa Teutonica,,,Media,,
https://boardgamegeek.com/boardgame/340498/hansel-gretel,Hansel & Gretel,,,Semplice,,
https://boardgamegeek.com/boardgame/156138/happy-pigs,Happy Pigs,2-6,30-45,Semplice,,
https://boardgamegeek.com/boardgame/194626/happy-salmon,Happy Salmon,3-6,5,Semplice,Y,A
https://boardgamegeek.com/boardgame/106217/hawaii,Hawaii,,,Media,,
https://boardgamegeek.com/boardgame/382/heimlich-co,Heimlich & Co,,,Semplice,,
https://boardgamegeek.com/boardgame/224272/hellapagos,Hellapagos,,,Semplice,,
https://boardgamegeek.com/boardgame/103092/helvetia,Helvetia,2-4,90,Elevata,,
https://boardgamegeek.com/boardgame/182875/hengist,Hengist,2,20,Semplice,,A
https://boardgamegeek.com/boardgame/699/heroquest,Heroquest,,,Semplice,,
https://boardgamegeek.com/boardgame/1761/heroquest-return-of-the-witch-lord,Heroquest: Il ritorno del signore degli stregoni,,,Semplice,,
https://boardgamegeek.com/boardgame/392147/heroquest-rise-of-the-dread-moon-quest-pack,Heroquest: L'ascesa della luna del terrore,,,Semplice,,
https://boardgamegeek.com/boardgame/1762/heroquest-kellars-keep,Heroquest: La rocca di Kellar,,,Semplice,,
https://boardgamegeek.com/boardgame/367079/heroquest-the-frozen-horror,Heroquest: The Frozen Horror,,,Semplice,,
https://boardgamegeek.com/boardgame/2569/pick-picknic,Hick Hack nel pollaio,,,Semplice,,
https://boardgamegeek.com/boardgame/16500/highland-clans,Highland Clans,,,Media,,
https://boardgamegeek.com/boardgame/318243/hitster,Hitster,,,Semplice,,
https://boardgamegeek.com/boardgame/295957/holi-festival-colors,Holi,,,Semplice,,
https://boardgamegeek.com/boardgame/174078/holmes-sherlock-mycroft,Holmes Sherlock & Mycroft,2,20-30,Media,,B
https://boardgamegeek.com/boardgame/207336/honshu,Honshu,2-5,30-40,Media,,A
https://boardgamegeek.com/boardgame/58110/horse-fever,Horse Fever,,,Semplice,,
https://boardgamegeek.com/boardgame/63543/horus-heresy,Horus Heresy,,,Media,,
https://boardgamegeek.com/boardgame/2290/phantoms-vs-phantoms,I buoni e i cattivi fantasmi,2,15,Semplice,,B
https://boardgamegeek.com/boardgame/84876/castles-burgundy,I castelli della Borgogna,,,Media,,
https://boardgamegeek.com/boardgame/13/catan,I coloni di Catan,3-4,60-120,Media,,
https://boardgamegeek.com/boardgame/256980/color-monster,I colori delle emozioni,,,Semplice,,
https://boardgamegeek.com/boardgame/437/master-labyrinth,I Maestri del Labirinto,,,Semplice,,
https://boardgamegeek.com/boardgame/208889/i-racconti-del-libro-della-giungla,I racconti del Libro della giungla,2-5,30,Semplice,Y,B
https://boardgamegeek.com/boardgame/135649/tales-games-three-little-pigs,I tre piccoli porcellini,2-5,20,Semplice,Y,B
https://boardgamegeek.com/boardgame/148381/ikonikus,iCon,,,Semplice,,
https://boardgamegeek.com/boardgame/349167/il-bucato,Il bucato,,,Semplice,,
https://boardgamegeek.com/boardgame/38386/castle-all-seasons,Il Castello,2-4,60,Media,,
https://boardgamegeek.com/boardgame/27316/il-cognome-della-rosa,Il Cognome della rosa,2-6,60,Semplice,,
https://boardgamegeek.com/boardgame/173101/council-4,Il Consiglio dei Quattro,2-4,45-75,Media,,
https://boardgamegeek.com/boardgame/136063/forbidden-desert,Il deserto proibito,,,Media,,
https://boardgamegeek.com/boardgame/254103/smiles-and-daggers,Il Diavolo e l'Acqua scura,,,Semplice,,
https://boardgamegeek.com/boardgame/41305/orchard-card-game,Il Frutteto: gioco di carte,,,Semplice,,
https://boardgamegeek.com/boardgame/204599/around-world-80-days,Il giro del mondo in 80 giorni,,,Semplice,,
https://boardgamegeek.com/boardgame/171233/the-big-book-of-madness,Il grande libro della follia,,,Semplice,,
https://boardgamegeek.com/boardgame/283650/il-mio-safari,Il mio Safari,,,Semplice,,
https://boardgamegeek.com/boardgame/915/mystery-of-the-abbey,Il mistero dell'Abbazia,,,Media,,
https://boardgamegeek.com/boardgame/35488/name-rose,Il nome della rosa,,,Media,,
https://boardgamegeek.com/boardgame/15818/pickomino,Il verme è tratto,2-7,20,Semplice,,A
https://boardgamegeek.com/boardgame/191894/imagine,Imagine,3-8,15-30,Semplice,,B
https://boardgamegeek.com/boardgame/298624/imagician,Immagica,,,Semplice,,
https://boardgamegeek.com/boardgame/31594/year-dragon,In the year of the Dragon,,,Media,,
https://boardgamegeek.com/boardgame/233678/indian-summer,Indian summer,1-4,30-60,Media,,B
https://boardgamegeek.com/boardgame/4143/guess-who,Indovina Chi?,2,15,Semplice,Y,
https://boardgamegeek.com/boardgame/274960/point-salad,Insalata di punti,,,Semplice,,
https://boardgamegeek.com/boardgame/178570/unusual-suspects,Insoliti sospetti,3-18,10-30,Semplice,,B
https://boardgamegeek.com/boardgame/246317/isidore,Isidore - School of magic,,,Semplice,,
https://boardgamegeek.com/boardgame/1245/isis-osiris,Isis & Osiris,,,Media,,
https://boardgamegeek.com/boardgame/148949/istanbul,Istanbul,,,Media,,
https://boardgamegeek.com/boardgame/359175/its-bomb,It's a Bomb!,,,Semplice,,
https://boardgamegeek.com/boardgame/54043/jaipur,Jaipur,,,Semplice,,
https://boardgamegeek.com/boardgame/28023/jamaica,Jamaica,2-6,30-60,Media,,
https://boardgamegeek.com/boardgame/188908/jewels,Jewels,2-5,30-60,Media,,
https://boardgamegeek.com/boardgame/255696/jungle-race,Jungle Race,2-6,15,Semplice,Y,A
https://boardgamegeek.com/boardgame/245431/jurassic-park-danger,Jurassic Park Danger,,,Media,,
https://boardgamegeek.com/boardgame/254640/just-one,Just One,3-7,20,Semplice,,B
https://boardgamegeek.com/boardgame/136245/ka-boom,Ka-Woom,,,Semplice,,
https://boardgamegeek.com/boardgame/107464/kabuki,Kabuki,2-6,20,Semplice,,A
https://boardgamegeek.com/boardgame/394/kahuna,Kahuna,2,30-40,Media,,B
https://boardgamegeek.com/boardgame/41860/kangaroo,Kang A Roo,,,Semplice,,
https://boardgamegeek.com/boardgame/241477/karak,Karak (Le catacombe di),,,Semplice,,
https://boardgamegeek.com/boardgame/291436/karak-regent,Karak: Regent,,,Semplice,,
https://boardgamegeek.com/boardgame/183251/karuba,Karuba,,,Semplice,,
https://boardgamegeek.com/boardgame/257/kill-doctor-lucky,Kill Doctor Lucky,3-8,45,Semplice,,B
https://boardgamegeek.com/boardgame/70323/king-tokyo,King of Tokio,2-6,30,Semplice,,B
https://boardgamegeek.com/boardgame/204583/kingdomino,Kingdomino ,2-5,20,Semplice,,
https://boardgamegeek.com/boardgameexpansion/240909/kingdomino-age-giants,Kingdomino Age of Giants,,,Semplice,,
https://boardgamegeek.com/boardgame/27162/kingsburg,Kingsburg,,,Media,,
https://boardgamegeek.com/boardgame/154509/kingsport-festival,Kingsport Festival,,,Media,,
https://boardgamegeek.com/boardgame/253368/kingswood,Kingswood,,,Semplice,,
https://boardgamegeek.com/boardgame/155802/korrigans,Korrigans,2-5,45,Semplice,,
https://boardgamegeek.com/boardgame/112138/krosmaster-arena,Krosmaster: Arena,,,Semplice,,
https://boardgamegeek.com/boardgame/164354/kryptos,Kryptos,3-6,20,Semplice,,
https://boardgamegeek.com/boardgame/333539/the-siege-of-runedar,L'assedio di Runedar,,,Media,,
